
PAW Database : abra.z80

Extracted by UNPAWS32 v2.1

General data
------------

Locations                           34
Objects                             24
Messages                           193
System messages                     54
Processes                           20
Character sets                       1
Default character set                0
Default ink color                    9
Default paper color                  0
Default flash state                  0
Default bright state                 0
Default inverse state                0
Default over state                   0
Default border color                 0
Database version                     1
Database compressed
Snapshot type          Z80 48K Basic48

--------------------------------------------------------------------------

Vocabulary
----------
*        1 RESERVED
A        2 Preposition
Y        2 Conjunction
S        2 Noun
AL       2 Preposition
SUR      2 Noun
ENTON    2 Conjunction
LUEGO    2 Conjunction
DESPU    2 Conjunction
E        3 Noun
ESTE     3 Noun
O        4 Noun
EN       4 Preposition
DENTR    4 Preposition
INTER    4 Preposition
OESTE    4 Noun
N        5 Noun
FUERA    5 Preposition
NORTE    5 Noun
ATRAV    6 Preposition
SOBRE    7 Preposition
BAJO     8 Preposition
DEBAJ    8 Preposition
CERCA    9 Preposition
B       10 Noun
BAJA    10 Verb
TRAS    10 Preposition
DESCE   10 Verb
BAJAR   10 Verb
DETRA   10 Preposition
ABAJO   10 Noun
CON     11 Preposition
SUBE    11 Verb
SUBIR   11 Verb
ARRIB   11 Noun
I       14 Noun
INVEN   14 Noun
COGE    20 Verb
SACA    20 Verb
COJA    20 Verb
TODO    20 Noun
CAZA    20 Verb
CACE    20 Verb
TOMA    20 Verb
COGER   20 Verb
SACAR   20 Verb
CAZAR   20 Verb
TOMAR   20 Verb
PON     21 Verb
DEJA    21 Verb
ECHA    21 Verb
DEJAR   21 Verb
PONER   21 Verb
ECHAR   21 Verb
QUITA   22 Verb
R       24 Verb
REDES   24 Verb
STOP    25 Verb
NADA    25 Verb
ACABA   25 Verb
SAVE    26 Verb
GRABA   26 Verb
LOAD    27 Verb
CARGA   27 Verb
RAMSA   28 Verb
RAMLO   29 Verb
LEE     30 Verb
EXAM    30 Verb
LEER    30 Verb
MIRA    30 Verb
EXAMI   30 Verb
MIRAR   30 Verb
OBSER   30 Verb
SALIG   30 Noun
BRUJA   30 Noun
DI      31 Verb
DIME    31 Verb
DECIR   31 Verb
PREGU   31 Verb
HABLA   31 Verb
DIGAM   31 Verb
TROCK   31 Noun
JOROB   31 Noun
MAYOR   31 Noun
HOLA    32 Verb
CURA    32 Noun
ALCUI   32 Noun
MONJE   32 Noun
REY     33 Noun
ADIOS   33 Verb
TRIMU   33 Noun
MAJES   33 Noun
DAR     34 Verb
DAME    34 Verb
DEME    34 Verb
SATAN   34 Noun
DIABL   34 Noun
DEMON   34 Noun
CUAL    35 Verb
RAMSU   35 Noun
DRAGO   35 Noun
PETRU   36 Noun
GUARD   36 Noun
ALGO    37 Noun
AYUDA   37 Verb
AYUDE   37 Verb
MATA    38 Verb
MATE    38 Verb
MATAR   38 Verb
LUCHA   38 Verb
GOLPE   38 Verb
PRINC   38 Noun
VIOLE   38 Noun
LLAMA   38 Verb
CHAFA   38 Verb
GRACI   39 Verb
VE      40 Verb
VES     40 Verb
VAYA    40 Verb
SIGAM   40 Verb
SIGUE   40 Verb
COME    41 Verb
